Ethnicity,Year,Region,Gender,Age,Socio-economic classification,Household income,Value
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Devon and Cornwall,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Dorset,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Gloucestershire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Wiltshire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Wales,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Dyfed-Powys,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Gwent,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",North Wales,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",South Wales,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,All,16.3
Asian/Asian British,"2014/15, 2015/16 and 2016/17",North East,All,16+,All,All,18.3
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Cleveland,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Durham,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Northumbria,All,16+,All,All,16.8
Asian/Asian British,"2014/15, 2015/16 and 2016/17",North West,All,16+,All,All,15.3
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Cheshire,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Cumbria,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Greater Manchester,All,16+,All,All,16.1
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Lancashire,All,16+,All,All,14.3
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Merseyside,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Yorkshire and the Humber,All,16+,All,All,18.4
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Humberside,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",North Yorkshire,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",South Yorkshire,All,16+,All,All,18.8
Asian/Asian British,"2014/15, 2015/16 and 2016/17",West Yorkshire,All,16+,All,All,18.7
Asian/Asian British,"2014/15, 2015/16 and 2016/17",East Midlands,All,16+,All,All,20.4
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Derbyshire,All,16+,All,All,10.7
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Leicestershire,All,16+,All,All,22.6
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Lincolnshire,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Northamptonshire,All,16+,All,All,10.7
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Nottinghamshire,All,16+,All,All,26.1
Asian/Asian British,"2014/15, 2015/16 and 2016/17",West Midlands Region,All,16+,All,All,14.6
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Staffordshire,All,16+,All,All,11.7
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Warwickshire,All,16+,All,All,11.2
Asian/Asian British,"2014/15, 2015/16 and 2016/17",West Mercia,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",West Midlands,All,16+,All,All,15.3
Asian/Asian British,"2014/15, 2015/16 and 2016/17",East,All,16+,All,All,18.0
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Bedfordshire,All,16+,All,All,20.3
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Cambridgeshire,All,16+,All,All,21.7
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Essex,All,16+,All,All,15.3
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Hertfordshire,All,16+,All,All,15.8
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Norfolk,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Suffolk,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",London,All,16+,All,All,16.0
Asian/Asian British,"2014/15, 2015/16 and 2016/17",City of London / Metropolitan Police,All,16+,All,All,16.0
Asian/Asian British,"2014/15, 2015/16 and 2016/17",South East,All,16+,All,All,14.1
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Hampshire,All,16+,All,All,15.8
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Kent,All,16+,All,All,18.0
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Surrey,All,16+,All,All,16.5
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Sussex,All,16+,All,All,5.8
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Thames Valley,All,16+,All,All,13.9
Asian/Asian British,"2014/15, 2015/16 and 2016/17",South West,All,16+,All,All,14.9
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Avon and Somerset,All,16+,All,All,16.7
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Devon and Cornwall,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Dorset,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Gloucestershire,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Wiltshire,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Wales,All,16+,All,All,26.1
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Dyfed-Powys,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",Gwent,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",North Wales,All,16+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",South Wales,All,16+,All,All,26.6
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,All,17.7
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",North East,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Cleveland,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Durham,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Northumbria,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",North West,All,16+,All,All,12.3
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Cheshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Cumbria,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Greater Manchester,All,16+,All,All,12.0
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Lancashire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Merseyside,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Yorkshire and the Humber,All,16+,All,All,18.3
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Humberside,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",North Yorkshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",South Yorkshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",West Yorkshire,All,16+,All,All,21.3
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",East Midlands,All,16+,All,All,25.0
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Derbyshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Leicestershire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Lincolnshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Northamptonshire,All,16+,All,All,18.6
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Nottinghamshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",West Midlands Region,All,16+,All,All,22.7
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Staffordshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Warwickshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",West Mercia,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",West Midlands,All,16+,All,All,20.9
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",East,All,16+,All,All,21.6
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Bedfordshire,All,16+,All,All,20.4
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Cambridgeshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Essex,All,16+,All,All,32.8
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Hertfordshire,All,16+,All,All,14.3
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Norfolk,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Suffolk,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",London,All,16+,All,All,16.1
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",City of London / Metropolitan Police,All,16+,All,All,16.1
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",South East,All,16+,All,All,21.4
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Hampshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Kent,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Surrey,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Sussex,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Thames Valley,All,16+,All,All,14.4
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",South West,All,16+,All,All,20.3
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Avon and Somerset,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Devon and Cornwall,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Dorset,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Gloucestershire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Wiltshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Wales,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Dyfed-Powys,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",Gwent,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",North Wales,All,16+,All,All,?
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",South Wales,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,All,15.3
Other,"2014/15, 2015/16 and 2016/17",North East,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Cleveland,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Durham,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Northumbria,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",North West,All,16+,All,All,18.3
Other,"2014/15, 2015/16 and 2016/17",Cheshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Cumbria,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Greater Manchester,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Lancashire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Merseyside,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Yorkshire and the Humber,All,16+,All,All,7.1
Other,"2014/15, 2015/16 and 2016/17",Humberside,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",North Yorkshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",South Yorkshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",West Yorkshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",East Midlands,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Derbyshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Leicestershire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Lincolnshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Northamptonshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Nottinghamshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",West Midlands Region,All,16+,All,All,21.3
Other,"2014/15, 2015/16 and 2016/17",Staffordshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Warwickshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",West Mercia,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",West Midlands,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",East,All,16+,All,All,3.9
